angry,dates,haha,like,love,messages,sad,wow,url
0,2017-10-05T13:13:20+0000,0,63,2,"#LoqueTienesqueSaber: 

•¿La Casa Blanca desmintió a Donald Trump con la deuda de Puerto Rico?
•Hoy se le debe conocer la medida de coerción a Yimi y compartes, ¿habrá docencia? 
•Caen los dos primeros por el caso “Quirinito”. 
•Ya Lajún no está en Duquesa y la basura sigue. 
•Vidas atadas: Miguel y Raymond.

Aquí un resumen de las principales informaciones de este jueves 5 de octubre http://bit.ly/2fRI8cD",0,0,http://bit.ly/2fRI8cD
0,2017-10-05T12:34:53+0000,0,53,0,"El británico Kazuo Ishiguro, premio Nobel de Literatura 2017 http://bit.ly/2xjBA9z",0,1,http://bit.ly/2xjBA9z
0,2017-10-05T12:00:00+0000,0,194,8,#TBTdeportivoDL: Albert Pujols conecta su primer cuadrangular en postemporada http://bit.ly/2xiiEYo,0,0,http://bit.ly/2xiiEYo
0,2017-10-05T11:45:00+0000,0,10,0,DE BUENA TINTA: ¿Constitucionalistas de fuera? #DLOpinión http://bit.ly/2xgBh45,0,0,http://bit.ly/2xgBh45
2,2017-10-05T11:30:00+0000,1,15,1,"Deuda Sector Público No Financiero creció US$2,179 millones en ocho meses http://bit.ly/2fSB5jO",0,1,http://bit.ly/2fSB5jO
0,2017-10-05T11:15:00+0000,0,8,0,NO RESPONDO: El Presupuesto es casi exacto #DLOpinión http://bit.ly/2xi3k2W,0,0,http://bit.ly/2xi3k2W
0,2017-10-05T11:00:00+0000,0,12,0,Decisión del Partido de la Liberación Dominicana sobre consulta divide sectores en ese partido y agita oposición http://bit.ly/2yJotPO,0,1,http://bit.ly/2yJotPO
19,2017-10-05T10:45:00+0000,0,123,10,Huelga médica deja a miles sin atención; dicen arreciarán lucha http://bit.ly/2hNT2Rh,5,3,http://bit.ly/2hNT2Rh
0,2017-10-05T10:30:00+0000,1,40,2,EDITORIAL: Asociación de malhechores #DLOpinión http://bit.ly/2xgCwQx,0,0,http://bit.ly/2xgCwQx
1,2017-10-05T10:15:00+0000,5,138,0,El 37% de las uniones tempranas es de mujeres de menos de 19 años http://bit.ly/2xgH9dw,19,10,http://bit.ly/2xgH9dw
